Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.249,4.769,1.802,103,0.286
RollerBallBrain,0.207,5.961,0.824,107,0.308
RollerBallBrain,0.189,7.189,0.855,109,0.250
RollerBallBrain,0.196,8.346,0.802,101,0.308
RollerBallBrain,0.211,9.541,0.832,101,0.324
RollerBallBrain,0.192,10.683,0.794,103,0.308
RollerBallBrain,0.244,12.033,0.939,123,0.286
RollerBallBrain,0.194,13.223,0.831,108,0.255
RollerBallBrain,0.200,14.464,0.872,109,0.255
RollerBallBrain,0.192,15.653,0.824,102,0.266
RollerBallBrain,0.213,16.886,0.842,110,0.239
RollerBallBrain,0.222,18.198,0.927,114,0.241
RollerBallBrain,0.191,19.386,0.844,106,0.235
RollerBallBrain,0.225,20.643,0.872,113,0.244
RollerBallBrain,0.196,21.899,0.894,108,0.245
RollerBallBrain,0.213,23.083,0.815,104,0.257
RollerBallBrain,0.192,24.311,0.869,108,0.272
RollerBallBrain,0.197,25.482,0.815,104,0.276
RollerBallBrain,0.204,26.660,0.820,102,0.279
RollerBallBrain,0.199,27.912,0.890,109,0.295
RollerBallBrain,0.228,29.226,0.922,110,0.313
RollerBallBrain,0.192,30.395,0.822,101,0.321
RollerBallBrain,0.234,31.702,0.904,110,0.320
RollerBallBrain,0.192,32.936,0.887,103,0.332
RollerBallBrain,0.182,34.154,0.863,106,0.342
RollerBallBrain,0.214,35.465,0.923,111,0.347
RollerBallBrain,0.183,36.626,0.822,101,0.353
RollerBallBrain,0.200,37.804,0.825,102,0.353
RollerBallBrain,0.197,39.048,0.880,104,0.357
RollerBallBrain,0.214,40.265,0.846,104,0.353
RollerBallBrain,0.204,41.589,0.938,116,0.353
RollerBallBrain,0.204,42.818,0.863,106,0.359
RollerBallBrain,0.186,44.046,0.878,104,0.369
RollerBallBrain,0.210,45.278,0.868,103,0.380
RollerBallBrain,0.219,46.633,0.972,112,0.388
RollerBallBrain,0.218,47.910,0.883,107,0.395
RollerBallBrain,0.192,49.095,0.841,103,0.399
RollerBallBrain,0.201,50.373,0.904,106,0.409
RollerBallBrain,0.209,51.660,0.913,111,0.412
RollerBallBrain,0.217,52.914,0.880,103,0.421
RollerBallBrain,0.188,54.178,0.902,109,0.421
RollerBallBrain,0.185,55.429,0.891,104,0.431
RollerBallBrain,0.194,56.726,0.938,108,0.437
RollerBallBrain,0.198,57.936,0.869,102,0.439
RollerBallBrain,0.207,59.149,0.846,102,0.442
RollerBallBrain,0.192,60.317,0.819,102,0.445
RollerBallBrain,0.210,61.584,0.896,105,0.449
RollerBallBrain,0.193,62.839,0.900,102,0.451
RollerBallBrain,0.198,64.099,0.899,107,0.455
RollerBallBrain,0.231,65.568,1.046,123,0.460
RollerBallBrain,0.225,66.935,0.970,114,0.463
RollerBallBrain,0.193,68.237,0.934,104,0.469
RollerBallBrain,0.215,69.605,0.976,113,0.471
RollerBallBrain,0.201,70.926,0.955,105,0.477
RollerBallBrain,0.208,72.186,0.880,107,0.481
RollerBallBrain,0.208,73.464,0.890,102,0.484
RollerBallBrain,0.189,74.688,0.872,103,0.483
RollerBallBrain,0.218,75.989,0.913,111,0.485
RollerBallBrain,0.192,77.277,0.925,107,0.486
RollerBallBrain,0.188,78.510,0.876,103,0.494
RollerBallBrain,0.191,79.766,0.907,102,0.494
RollerBallBrain,0.202,81.016,0.882,106,0.496
RollerBallBrain,0.200,82.279,0.898,102,0.498
RollerBallBrain,0.212,83.608,0.948,113,0.499
RollerBallBrain,0.204,84.843,0.863,102,0.502
RollerBallBrain,0.190,86.105,0.902,107,0.507
RollerBallBrain,0.187,87.378,0.922,102,0.509
RollerBallBrain,0.204,88.630,0.891,105,0.510
RollerBallBrain,0.190,89.847,0.869,103,0.511
RollerBallBrain,0.210,91.176,0.945,105,0.515
RollerBallBrain,0.192,92.418,0.888,102,0.514
RollerBallBrain,0.209,93.677,0.887,101,0.516
RollerBallBrain,0.191,94.905,0.873,102,0.517
RollerBallBrain,0.214,96.240,0.946,110,0.519
RollerBallBrain,0.209,97.504,0.888,103,0.523
RollerBallBrain,0.195,98.738,0.876,109,0.523
RollerBallBrain,0.200,100.002,0.887,106,0.526
RollerBallBrain,0.219,101.337,0.932,113,0.527
RollerBallBrain,0.192,102.559,0.870,102,0.533
RollerBallBrain,0.200,103.766,0.844,102,0.535
RollerBallBrain,0.202,105.034,0.899,107,0.538
RollerBallBrain,0.191,106.278,0.892,104,0.542
RollerBallBrain,0.216,107.582,0.917,111,0.545
RollerBallBrain,0.228,108.904,0.922,110,0.548
RollerBallBrain,0.195,110.162,0.895,106,0.551
RollerBallBrain,0.213,111.366,0.833,101,0.553
RollerBallBrain,0.204,112.602,0.870,105,0.556
RollerBallBrain,0.197,113.796,0.841,101,0.558
RollerBallBrain,0.212,115.004,0.845,101,0.559
RollerBallBrain,0.229,116.379,0.965,116,0.561
RollerBallBrain,0.212,117.721,0.947,114,0.563
RollerBallBrain,0.194,119.012,0.922,105,0.565
RollerBallBrain,0.197,120.272,0.893,107,0.567
RollerBallBrain,0.181,121.550,0.933,104,0.569
RollerBallBrain,0.198,122.822,0.911,102,0.572
RollerBallBrain,0.186,124.023,0.848,103,0.572
RollerBallBrain,0.236,125.373,0.938,106,0.573
RollerBallBrain,0.206,126.706,0.948,106,0.575
RollerBallBrain,0.253,128.195,1.026,104,0.578
RollerBallBrain,0.253,129.632,0.985,117,0.581
RollerBallBrain,0.219,130.995,0.957,102,0.584
RollerBallBrain,0.236,132.309,0.911,102,0.585
RollerBallBrain,0.187,133.588,0.913,105,0.588
RollerBallBrain,0.204,134.805,0.858,103,0.591
RollerBallBrain,0.188,136.063,0.896,101,0.592
RollerBallBrain,0.203,137.272,0.850,101,0.595
RollerBallBrain,0.210,138.665,1.007,110,0.597
RollerBallBrain,0.187,139.903,0.892,101,0.599
RollerBallBrain,0.233,141.411,1.066,122,0.601
RollerBallBrain,0.179,142.754,0.984,108,0.603
RollerBallBrain,0.225,144.242,1.061,125,0.605
RollerBallBrain,0.183,145.473,0.886,102,0.607
RollerBallBrain,0.241,146.942,1.032,123,0.607
RollerBallBrain,0.206,148.291,0.966,110,0.610
RollerBallBrain,0.189,149.522,0.880,103,0.612
RollerBallBrain,0.181,150.775,0.909,108,0.614
RollerBallBrain,0.201,152.054,0.919,102,0.615
RollerBallBrain,0.208,153.312,0.886,101,0.617
RollerBallBrain,0.218,154.566,0.881,104,0.619
RollerBallBrain,0.214,155.873,0.924,106,0.622
RollerBallBrain,0.228,157.254,0.983,110,0.624
RollerBallBrain,0.200,158.454,0.835,102,0.626
RollerBallBrain,0.199,159.706,0.887,105,0.629
RollerBallBrain,0.212,161.052,0.956,114,0.632
RollerBallBrain,0.208,162.411,0.973,107,0.635
RollerBallBrain,0.223,163.800,0.979,110,0.636
RollerBallBrain,0.215,165.068,0.883,106,0.639
RollerBallBrain,0.239,166.396,0.928,107,0.642
RollerBallBrain,0.225,167.785,0.973,104,0.644
RollerBallBrain,0.223,169.099,0.914,102,0.646
RollerBallBrain,0.197,170.405,0.939,104,0.649
RollerBallBrain,0.194,171.654,0.892,103,0.651
RollerBallBrain,0.195,172.919,0.898,104,0.654
RollerBallBrain,0.223,174.270,0.950,103,0.656
RollerBallBrain,0.202,175.463,0.830,102,0.658
RollerBallBrain,0.212,176.814,0.960,113,0.660
RollerBallBrain,0.202,178.072,0.893,105,0.662
RollerBallBrain,0.197,179.326,0.896,102,0.665
RollerBallBrain,0.194,180.625,0.933,107,0.666
RollerBallBrain,0.205,181.915,0.904,104,0.669
RollerBallBrain,0.195,183.170,0.887,103,0.671
RollerBallBrain,0.209,184.406,0.868,103,0.673
RollerBallBrain,0.205,185.730,0.936,109,0.675
RollerBallBrain,0.190,186.931,0.852,101,0.677
RollerBallBrain,0.207,188.254,0.947,110,0.678
RollerBallBrain,0.198,189.500,0.884,101,0.680
RollerBallBrain,0.206,190.801,0.925,101,0.683
RollerBallBrain,0.192,192.022,0.855,103,0.685
RollerBallBrain,0.236,193.330,0.899,103,0.687
RollerBallBrain,0.191,194.583,0.899,102,0.690
RollerBallBrain,0.218,195.873,0.909,102,0.691
RollerBallBrain,0.210,197.193,0.921,109,0.693
RollerBallBrain,0.219,198.511,0.930,102,0.695
RollerBallBrain,0.231,199.883,0.962,109,0.696
RollerBallBrain,0.204,201.175,0.913,103,0.698
RollerBallBrain,0.191,202.465,0.935,109,0.700
RollerBallBrain,0.192,203.761,0.919,104,0.701
RollerBallBrain,0.209,205.019,0.877,105,0.702
RollerBallBrain,0.216,206.370,0.958,113,0.704
RollerBallBrain,0.200,207.638,0.902,102,0.705
RollerBallBrain,0.202,208.991,0.971,106,0.707
RollerBallBrain,0.223,210.304,0.916,101,0.709
RollerBallBrain,0.200,211.638,0.953,108,0.711
RollerBallBrain,0.187,212.928,0.934,105,0.713
RollerBallBrain,0.187,214.125,0.844,101,0.714
RollerBallBrain,0.198,215.373,0.879,101,0.716
RollerBallBrain,0.190,216.597,0.875,105,0.718
RollerBallBrain,0.189,217.861,0.918,108,0.719
RollerBallBrain,0.214,219.155,0.914,110,0.721
RollerBallBrain,0.197,220.360,0.850,101,0.722
RollerBallBrain,0.291,221.852,1.013,104,0.724
RollerBallBrain,0.243,223.340,1.031,106,0.725
RollerBallBrain,0.224,224.720,0.977,105,0.727
RollerBallBrain,0.191,225.926,0.852,101,0.728
RollerBallBrain,0.206,227.219,0.913,105,0.730
RollerBallBrain,0.187,228.469,0.895,103,0.732
RollerBallBrain,0.224,229.785,0.911,105,0.733
RollerBallBrain,0.250,231.136,0.925,103,0.735
RollerBallBrain,0.195,232.448,0.944,101,0.736
RollerBallBrain,0.217,233.907,1.040,117,0.738
RollerBallBrain,0.208,235.252,0.956,107,0.739
RollerBallBrain,0.234,236.657,0.985,110,0.741
RollerBallBrain,0.235,238.009,0.935,103,0.742
RollerBallBrain,0.289,239.767,1.203,103,0.744
RollerBallBrain,0.322,241.623,1.282,111,0.745
RollerBallBrain,0.292,243.445,1.234,110,0.747
RollerBallBrain,0.350,245.144,1.104,105,0.748
RollerBallBrain,0.236,246.715,1.117,114,0.750
RollerBallBrain,0.298,248.131,0.923,101,0.751
RollerBallBrain,0.229,249.511,0.966,104,0.753
RollerBallBrain,0.221,250.924,0.986,102,0.754
RollerBallBrain,0.197,252.293,0.983,103,0.755
RollerBallBrain,0.214,253.605,0.919,108,0.756
RollerBallBrain,0.224,254.991,0.977,101,0.758
RollerBallBrain,0.246,256.435,1.002,101,0.759
RollerBallBrain,0.236,257.930,1.042,107,0.760
RollerBallBrain,0.223,259.408,1.054,105,0.762
RollerBallBrain,0.222,260.802,0.978,103,0.763
RollerBallBrain,0.231,262.228,0.999,113,0.764
RollerBallBrain,0.240,263.521,0.887,102,0.765
RollerBallBrain,0.282,265.070,1.060,106,0.766
RollerBallBrain,0.257,266.514,0.990,103,0.767
RollerBallBrain,0.228,267.883,0.952,104,0.769
RollerBallBrain,0.211,269.201,0.920,105,0.770
RollerBallBrain,0.215,270.519,0.921,103,0.771
RollerBallBrain,0.192,271.902,1.000,103,0.772
RollerBallBrain,0.209,273.193,0.911,109,0.773
RollerBallBrain,0.208,274.426,0.850,103,0.774
RollerBallBrain,0.192,275.703,0.911,108,0.776
RollerBallBrain,0.188,276.964,0.905,104,0.777
RollerBallBrain,0.192,278.257,0.923,107,0.778
RollerBallBrain,0.220,279.578,0.929,108,0.779
RollerBallBrain,0.190,280.852,0.916,103,0.780
RollerBallBrain,0.194,282.111,0.897,103,0.781
RollerBallBrain,0.196,283.407,0.924,101,0.782
RollerBallBrain,0.200,284.645,0.878,102,0.783
RollerBallBrain,0.204,285.916,0.896,105,0.784
RollerBallBrain,0.200,287.200,0.902,102,0.785
RollerBallBrain,0.196,288.502,0.936,104,0.786
RollerBallBrain,0.205,289.817,0.942,106,0.787
RollerBallBrain,0.211,291.076,0.884,102,0.788
RollerBallBrain,0.236,292.481,1.009,120,0.789
RollerBallBrain,0.190,293.780,0.933,106,0.790
RollerBallBrain,0.193,295.032,0.891,104,0.791
RollerBallBrain,0.210,296.340,0.932,103,0.792
RollerBallBrain,0.189,297.579,0.877,104,0.793
RollerBallBrain,0.188,298.829,0.891,101,0.794
RollerBallBrain,0.195,300.108,0.909,105,0.795
RollerBallBrain,0.224,301.383,0.890,102,0.795
RollerBallBrain,0.207,302.714,0.942,101,0.796
RollerBallBrain,0.261,304.171,1.009,101,0.797
RollerBallBrain,0.255,305.872,1.181,104,0.798
RollerBallBrain,0.272,307.521,1.150,105,0.799
RollerBallBrain,0.344,309.381,1.241,109,0.800
RollerBallBrain,0.366,311.178,1.179,108,0.801
RollerBallBrain,0.359,312.812,1.060,106,0.801
RollerBallBrain,0.352,314.591,1.181,103,0.802
RollerBallBrain,0.276,316.233,1.118,108,0.803
RollerBallBrain,0.263,317.930,1.160,107,0.804
RollerBallBrain,0.220,319.376,1.032,104,0.805
RollerBallBrain,0.233,320.823,1.019,103,0.806
RollerBallBrain,0.220,322.201,0.974,103,0.806
RollerBallBrain,0.234,323.610,0.983,105,0.807
RollerBallBrain,0.199,324.970,0.967,102,0.808
RollerBallBrain,0.197,326.266,0.932,107,0.809
RollerBallBrain,0.210,327.635,0.971,115,0.810
RollerBallBrain,0.192,328.865,0.884,101,0.811
RollerBallBrain,0.194,330.107,0.875,105,0.811
RollerBallBrain,0.198,331.428,0.951,102,0.812
RollerBallBrain,0.199,333.081,1.278,106,0.813
RollerBallBrain,0.192,334.365,0.924,104,0.814
RollerBallBrain,0.188,335.661,0.924,103,0.814
RollerBallBrain,0.198,336.878,0.860,102,0.815
RollerBallBrain,0.188,338.182,0.947,107,0.815
RollerBallBrain,0.192,339.468,0.928,103,0.816
RollerBallBrain,0.199,340.713,0.894,102,0.816
RollerBallBrain,0.197,342.012,0.934,108,0.817
RollerBallBrain,0.194,343.278,0.906,108,0.818
RollerBallBrain,0.195,344.609,0.961,103,0.819
RollerBallBrain,0.265,345.967,0.919,107,0.819
RollerBallBrain,0.211,347.302,0.945,112,0.820
